Date,Country_name,Confirmed
2020/10/23,Albania,18556
2020/10/24,Albania,18858
2020/10/25,Albania,19157
2020/10/26,Albania,19445
2020/10/27,Albania,19729
2020/10/28,Albania,20040
2020/10/29,Albania,20315
2020/10/30,Albania,20634
2020/10/31,Albania,20875
2020/11/1,Albania,21202
2020/11/2,Albania,21523
2020/11/3,Albania,21904
2020/11/4,Albania,22300
2020/11/5,Albania,22721
2020/11/6,Albania,23210
2020/11/7,Albania,23705
2020/11/8,Albania,24206
2020/11/9,Albania,24731
2020/11/10,Albania,25294
2020/11/11,Albania,25801
2020/11/12,Albania,26211
2020/11/13,Albania,26701
2020/11/14,Albania,27233
2020/11/15,Albania,27830
2020/11/16,Albania,28432
2020/11/17,Albania,29126
2020/11/18,Albania,29837
2020/11/19,Albania,30623
2020/11/20,Albania,31459
2020/11/21,Albania,32196
2020/11/22,Albania,32761
2020/11/23,Albania,33556
2020/11/24,Albania,34300
2020/11/25,Albania,34944
2020/11/26,Albania,35600
2020/11/27,Albania,36245
2020/11/28,Albania,36790
2020/11/29,Albania,37625
2020/11/30,Albania,38182
2020/12/1,Albania,39014
2020/12/2,Albania,39719
2020/12/3,Albania,40501
2020/12/4,Albania,41302
2020/12/5,Albania,42148
2020/12/6,Albania,42988
2020/12/7,Albania,43683
2020/12/8,Albania,44436
2020/12/9,Albania,45188
2020/12/10,Albania,46061
2020/12/11,Albania,46863
2020/12/12,Albania,47742
2020/12/13,Albania,48530
2020/12/14,Albania,49191
2020/12/15,Albania,50000
2020/12/16,Albania,50637
2020/12/17,Albania,51424
2020/12/18,Albania,52004
2020/12/19,Albania,52542
2020/12/20,Albania,53003
2020/12/21,Albania,53425
2020/12/22,Albania,53814
2020/12/23,Albania,54317
2020/12/24,Albania,54827
2020/12/25,Albania,55380
2020/12/26,Albania,55755
2020/12/27,Albania,56254
2020/12/28,Albania,56572
2020/12/29,Albania,57146
2020/1/22,Algeria,0
2020/1/23,Algeria,0
2020/1/24,Algeria,0
2020/1/25,Algeria,0
2020/1/26,Algeria,0
2020/1/27,Algeria,0
2020/1/28,Algeria,0
2020/1/29,Algeria,0
2020/1/30,Algeria,0
2020/1/31,Algeria,0
2020/2/1,Algeria,0
2020/2/2,Algeria,0
2020/2/3,Algeria,0
2020/2/4,Algeria,0
2020/2/5,Algeria,0
2020/2/6,Algeria,0
2020/2/7,Algeria,0
2020/2/8,Algeria,0
2020/2/9,Algeria,0
2020/2/10,Algeria,0
2020/2/11,Algeria,0
2020/2/12,Algeria,0
2020/2/13,Algeria,0
2020/2/14,Algeria,0
2020/2/15,Algeria,0
2020/2/16,Algeria,0
2020/2/17,Algeria,0
2020/2/18,Algeria,0
2020/2/19,Algeria,0
2020/2/20,Algeria,0
2020/2/21,Algeria,0
2020/2/22,Algeria,0
2020/2/23,Algeria,0
2020/2/24,Algeria,0
2020/2/25,Algeria,1
2020/2/26,Algeria,1
2020/2/27,Algeria,1
2020/2/28,Algeria,1
2020/2/29,Algeria,1
2020/3/1,Algeria,1
2020/3/2,Algeria,3
2020/3/3,Algeria,5
2020/3/4,Algeria,12
2020/3/5,Algeria,12
2020/3/6,Algeria,17
2020/3/7,Algeria,17
2020/3/8,Algeria,19
2020/3/9,Algeria,20
2020/3/10,Algeria,20
2020/3/11,Algeria,20
2020/3/12,Algeria,24
2020/3/13,Algeria,26
2020/3/14,Algeria,37
2020/3/15,Algeria,48
2020/3/16,Algeria,54
2020/3/17,Algeria,60
2020/3/18,Algeria,74
2020/3/19,Algeria,87
2020/3/20,Algeria,90
2020/3/21,Algeria,139
2020/3/22,Algeria,201
2020/3/23,Algeria,230
2020/3/24,Algeria,264
2020/3/25,Algeria,302
2020/3/26,Algeria,367
2020/3/27,Algeria,409
2020/3/28,Algeria,454
2020/3/29,Algeria,511
2020/3/30,Algeria,584
2020/3/31,Algeria,716
2020/4/1,Algeria,847
2020/4/2,Algeria,986
2020/4/3,Algeria,1171
2020/4/4,Algeria,1251
2020/4/5,Algeria,1320
2020/4/6,Algeria,1423
2020/4/7,Algeria,1468
2020/4/8,Algeria,1572
2020/4/9,Algeria,1666
2020/4/10,Algeria,1761
2020/4/11,Algeria,1825
2020/4/12,Algeria,1914
2020/4/13,Algeria,1983
2020/4/14,Algeria,2070
2020/4/15,Algeria,2160
2020/4/16,Algeria,2268
2020/4/17,Algeria,2418
2020/4/18,Algeria,2534
2020/4/19,Algeria,2629
2020/4/20,Algeria,2718
2020/4/21,Algeria,2811
2020/4/22,Algeria,2910
2020/4/23,Algeria,3007
2020/4/24,Algeria,3127
2020/4/25,Algeria,3256
2020/4/26,Algeria,3382
2020/4/27,Algeria,3517
2020/4/28,Algeria,3649
2020/4/29,Algeria,3848
2020/4/30,Algeria,4006
